player,pos,fp_id,ecr_2qb,value_2qb
Chuba Hubbard,RB,19792,140.7,385
Devin Singletary,RB,18280,141.3,379
2024 Pick 2.03,PICK,NA,117.8575,658
Raheem Mostert,RB,14338,142.2,371
Bryce Young,QB,22900,67.5,2149
Chase Brown,RB,25324,143.1,364
Deshaun Watson,QB,16398,68.2,2114
Marvin Mims Jr.,WR,23080,144.1,355
Gabe Davis,WR,19398,144.3,354
Kirk Cousins,QB,11177,73.9,1849
Roschon Johnson,RB,25322,146.5,336
Jerome Ford,RB,22921,145.2,346
2025 Early 2nd,PICK,NA,123.48172026869,577
Luke Musgrave,TE,25282,148.5,320
Tyler Lockett,WR,13971,148.4,321
Isaiah Likely,TE,23781,150.2,308
Quentin Johnston,WR,23123,148.6,320
2024 Pick 2.04,PICK,NA,125.35,552
Zack Moss,RB,19263,151.3,300
Jaylen Wright,RB,25987,153.6,284
Mike Williams,WR,16377,153.2,287
MarShawn Lloyd,RB,23118,153.5,285
Khalil Herbert,RB,22763,154.8,276
Baker Mayfield,QB,17237,85.9,1395
Braelon Allen,RB,24346,156.8,264
2024 Pick 2.05,PICK,NA,132.695,464
Michael Wilson,WR,25333,156.8,264
Tyler Allgeier,RB,24172,160,244
Elijah Moore,WR,20114,159.4,248
J.J. McCarthy,QB,23018,89.5,1282
Tucker Kraft,TE,25298,162,233
2024 Pick 2.06,PICK,NA,139.9125,392
Roman Wilson,WR,26160,163.7,224
Justin Fields,QB,19781,89,1297
Dontayvion Wicks,WR,24354,163.5,225
Gus Edwards,RB,17687,166.3,211
Joshua Palmer,WR,22845,164.2,222
Antonio Gibson,RB,19624,166.8,208
Treylon Burks,WR,22905,164.6,219
Khalil Shakir,WR,23748,166.8,208
Xavier Legette,WR,26136,168.9,198
2024 Pick 2.07,PICK,NA,146.9725,332
Will Levis,QB,22987,93.1,1178
Keaton Mitchell,RB,25360,169.6,195
DeMario Douglas,WR,25304,171.4,187
Rashid Shaheed,WR,24687,171.5,187
Matthew Stafford,QB,9451,98.3,1042
Brandin Cooks,WR,12122,171.5,187
Chigoziem Okonkwo,TE,23982,172.1,184
2025 2nd,PICK,NA,152.163803602023,294
Dameon Pierce,RB,22947,172.8,181
2025 Mid 2nd,PICK,NA,152.86484526869,289
AJ Dillon,RB,19358,173.9,176
2024 Pick 2.08,PICK,NA,153.8975,282
Ricky Pearsall,WR,26214,173.1,180
Cade Otton,TE,23181,176,168
Wan'Dale Robinson,WR,22985,175.4,170
Geno Smith,QB,11687,103.7,918
Jalin Hyatt,WR,25251,177.1,164
Darren Waller,TE,14104,179.5,155
2024 Pick 2.09,PICK,NA,160.6975,241
2026 2nd,PICK,NA,161.659273870713,235
Jonathan Mingo,WR,23030,181.5,148
Miles Sanders,RB,18283,185.1,136
Greg Dulcich,TE,23153,184.4,138
Rashod Bateman,WR,19794,184.7,137
2024 Pick 2.10,PICK,NA,167.4125,205
Curtis Samuel,WR,16434,183.8,140
Darnell Mooney,WR,19810,188.8,124
2024 Pick 2.11,PICK,NA,174.0075,176
Ty Chandler,RB,19471,192.2,115
Derek Carr,QB,12092,115.8,691
Adam Thielen,WR,13429,191.6,116
Alexander Mattison,RB,18621,194.3,109
Zay Jones,WR,16431,192.9,113
J.K. Dobbins,RB,19245,194.2,109
