player,pos,fp_id,ecr_2qb,value_2qb
Jashaun Corbin,RB,22948,382.2,1
Javian Hawkins,RB,22762,382.8,1
Tony Jones Jr.,RB,19482,383,1
Caleb Huntley,RB,19368,383.2,1
Darrel Williams,RB,17514,383.7,1
Anthony Firkser,TE,16787,388.3,1
Lew Nichols III,RB,25443,384.4,1
Derrick Gore,RB,19113,384.4,1
MyCole Pruitt,TE,13964,389,1
Cameron Brate,TE,13470,389.5,1
Tre'Quan Smith,WR,17261,370,2
Jaret Patterson,RB,20155,385.2,1
Blake Jarwin,TE,16638,390.1,1
Teagan Quitoriano,TE,24182,390.3,1
Tylan Wallace,WR,19801,370.6,2
Xavier Gipson,WR,25758,371,2
Dee Eskridge,WR,22785,371.3,2
Scott Miller,WR,18714,371.7,2
Tyler Kroft,TE,13960,391.8,1
KaVontae Turpin,WR,18520,372.7,2
Sincere McCormick,RB,23172,388.4,1
Samori Toure,WR,23883,373.4,2
Jarvis Landry,WR,12128,373.7,2
Xazavian Valladay,RB,25357,389,1
Mohamed Ibrahim,RB,20153,389.4,1
Julio Jones,WR,9867,374.9,2
Amari Rodgers,WR,20132,375.2,2
Ihmir Smith-Marsette,WR,20116,375.8,2
Jason Brownlee,WR,25754,375.8,2
Larry Rountree III,RB,19537,391.4,1
Ty Montgomery II,RB,13977,392.4,1
Geoff Swaim,TE,14164,397.3,1
Dres Anderson,WR,13980,377.5,1
Erik Ezukanma,WR,23755,378,1
Devin Asiasi,TE,19435,398,1
Jake Funk,RB,23190,393.7,1
Chris Moore,WR,15654,378.6,1
Derrick Deese Jr.,TE,23971,398.5,1
Byron Pringle,WR,17739,378.8,1
Zach Pascal,WR,16972,379,1
Jamal Agnew,WR,16666,379.2,1
Ashton Dulin,WR,18656,380.2,1
Jace Sternberger,TE,18614,400.1,1
Shi Smith,WR,20127,381,1
Trestan Ebner,RB,24047,396.8,1
Tyler Johnson,WR,18633,381.7,1
N'Keal Harry,WR,18222,381.8,1
Lynn Bowden Jr.,WR,19587,382.2,1
DeAndre Carter,WR,14103,382.4,1
J.J. Taylor,RB,19438,398,1
Trent Sherfield,WR,17888,384.2,1
Equanimeous St. Brown,WR,17307,384.5,1
Bryan Edwards,WR,18634,384.8,1
Jaelon Darden,WR,22796,385.8,1
Qadree Ollison,RB,18480,401.2,1
Simi Fehoko,WR,23196,386.4,1
Anthony Schwartz,WR,20125,387.4,1
Keelan Cole Sr.,WR,16864,389.6,1
Tyron Billy-Johnson,WR,18804,391.5,1
Andy Isabella,WR,18409,392,1
Dez Fitzpatrick,WR,20112,393.2,1
Mike Strachan,WR,23395,394.2,1
Cornell Powell,WR,22811,395.4,1
Antonio Brown,WR,9808,395.7,1
Seth Williams,WR,20118,395.7,1
Jalen Nailor,WR,24177,398.8,1
Freddie Swain,WR,19729,399,1
William Fuller V,WR,15629,399.8,1
Sammy Watkins,WR,12118,400.7,1
Miles Boykin,WR,18636,401,1
James Washington,WR,17254,401.7,1
Marquise Goodwin,WR,11599,403.2,1
T.Y. Hilton,WR,11206,405.7,1
Grant DuBose,WR,25470,407,1
Marquez Stevenson,WR,20133,408.7,1
Dazz Newsome,WR,20122,409.2,1
Phillip Dorsett II,WR,13979,411.3,1
Jalen Cropper,WR,25359,412.3,1
Breshad Perriman,WR,13975,413,1
Cam Sims,WR,18016,415.3,1
Collin Johnson,WR,18289,415.3,1
Keke Coutee,WR,17490,416,1
Steven Sims Jr.,WR,18962,416.7,1
Dontay Demus Jr.,WR,25821,418.8,1
Auden Tate,WR,17306,420.3,1
Damiere Byrd,WR,14222,420.5,1
Dante Pettis,WR,17264,421.7,1
Joseph Ngata,WR,23778,422.7,1
